"SA Restricted Word: ID","SA Restricted Word: SA Restricted Word Name","Word","RegexValue","ReplacementRegexValue","Designation Type","Substitution","Description","SampleEntry","isActive","Override Substitution"
"a0BHy00000A9RqZ","RW-0081","narcolepsy|nastt|nazi|Needs co-signer|Needs guarantor|Negative balance|negro|nigaboo|niglet|nigur","\b(?i)(narcolepsy|nastt|nazi|Needs co-signer|Needs guarantor|Negative balance|negro|nigaboo|niglet|nigur)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqa","RW-0082","Handicapped handjob|hard on|hardon|heart|heeb|hepatitis|High yield|hip|HIV","\b(?i)(Handicapped handjob|hard on|hardon|heart|heeb|hepatitis|High yield|hip|HIV)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqb","RW-0083","ho hoar hoe hoer|homo|homotard|honkey|hooker|hoor|hoore","\b(?i)(ho hoar hoe hoer|homo|homotard|honkey|hooker|hoor|hoore)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqc","RW-0084","niiger niigr|No collateral|Non-sufficient funds|Not eligible|Not qualified|Not working|NSF|numbnuts|nut sack","\b(?i)(niiger niigr|No collateral|Non-sufficient funds|Not eligible|Not qualified|Not working|NSF|numbnuts|nut sack)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqd","RW-0085","nutsack|obese|obesity|OMG|orafis|orgasim|orgasm orgasum|oriface|orifice","\b(?i)(nutsack|obese|obesity|OMG|orafis|orgasim|orgasm orgasum|oriface|orifice)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqe","RW-0086","orifiss|out perform|Outpatient|outperform|Outstanding credit|Overdrawn|Owed to bank|packi|packie|packy","\b(?i)(orifiss|out perform|Outpatient|outperform|Outstanding credit|Overdrawn|Owed to bank|packi|packie|packy)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqf","RW-0087","paki|pakie|paky|panooch|Past due|Pay back|pecker|peckerhead|peeenus|peeenusss","\b(?i)(paki|pakie|paky|panooch|Past due|Pay back|pecker|peckerhead|peeenus|peeenusss)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqg","RW-0088","peenus|peinus|pen1s|penas|Pending judgement|penis-breath|penises|penispuffer|penus|penuus","\b(?i)(peenus|peinus|pen1s|penas|Pending judgement|penis-breath|penises|penispuffer|penus|penuus)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqh","RW-0089","Personal broker|Personal trad|Personal trade*|Physical disability|pimpis|pissed|pissed off|pissflaps|pneumonia|polac","\b(?i)(Personal broker|Personal trad|Personal trade*|Physical disability|pimpis|pissed|pissed off|pissflaps|pneumonia|polac)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqi","RW-0090","polack|polak|polesmoker|pollock|Poor credit|porch monkey|porchmonkey|pr1c|pr1ck|pr1k","\b(?i)(polack|polak|polesmoker|pollock|Poor credit|porch monkey|porchmonkey|pr1c|pr1ck|pr1k)\b","","Foul Language","****","","","1","0"
